ACCESSION: MSBNK-SMB_Measured-HSA031P0442000
RECORD_TITLE: Uncharacterized; LC-ESI-QTOF; MS2; NEGATIVE; Averaged data
DATE: 2025.04.02 (Averaged 2025.02.24, Processed 2025.02.24, Annotated 2025.03.31, Curated 2025.04.02)
AUTHORS: Shin-MassBank project
LICENSE: CC BY-NC-SA
PUBLICATION: Yu et al. Front Cell Infect Microbiol. 2022,11,763507
COMMENT: This is an averaged mass spectra data created by averaging product ion scan data obtained from the following DDA dataset.
COMMENT: REPOSITORY MetaboLights
COMMENT: DATASET_ID MTBLS3233
COMMENT: DATASET_TITLE The gut microbiome and metabolites are altered and interrelated in patients with rheumatoid arthritis
COMMENT: DATASET_AUTHORS Die Yu, Juping Du, Xia Pu, Liyuan Zheng, Shuaishuai Chen, Na Wang, Jun Li, Shiyong Chen, Shaobiao Pan, Bo Shen
COMMENT: MS1_M/Z_AVERAGED_THRES 10.000
COMMENT: MS2_M/Z_AVERAGED_THRES 15.000
COMMENT: DATASET_FILE_NUM 59
COMMENT: NUM_AVERAGED_SPEC 24
COMMENT: RAW_SPEC {'HC12-neg_2991': {'bp': 4520.0, 'sum': 5998.0}, 'HC19-neg_2709': {'bp': 2170.0, 'sum': 2882.0}, 'HC3-neg_3003': {'bp': 2142.0, 'sum': 2600.0}, 'HC9-neg_2700': {'bp': 2062.0, 'sum': 3179.0}, 'RA17-neg_2895': {'bp': 1857.0, 'sum': 2570.0}, 'HC18-neg_2813': {'bp': 1815.0, 'sum': 2172.0}, 'RA2-neg_2857': {'bp': 1391.0, 'sum': 1850.0}, 'HC2-neg_2691': {'bp': 1383.0, 'sum': 2146.0}, 'RA5-neg_2782': {'bp': 1225.0, 'sum': 1836.0}, 'QC2-neg_2505': {'bp': 1215.0, 'sum': 2281.0}, 'RA12-neg_2947': {'bp': 1124.0, 'sum': 1888.0}, 'HC13-neg_3090': {'bp': 1076.0, 'sum': 1535.0}, 'QC1-neg_2493': {'bp': 980.0, 'sum': 1947.0}, 'HC5-neg_2695': {'bp': 774.0, 'sum': 1690.0}, 'HC20-neg_2909': {'bp': 766.0, 'sum': 1021.0}, 'RA13-neg_2718': {'bp': 678.0, 'sum': 1086.0}, 'RA16-neg_2951': {'bp': 654.0, 'sum': 1163.0}, 'HC10-neg_2869': {'bp': 551.0, 'sum': 1008.0}, 'QC5-neg_2704': {'bp': 550.0, 'sum': 907.0}, 'QC6-neg_2754': {'bp': 547.0, 'sum': 801.0}, 'HC7-neg_2632': {'bp': 445.0, 'sum': 699.0}, 'HC16-neg_3098': {'bp': 409.0, 'sum': 664.0}, 'RA15-neg_2915': {'bp': 376.0, 'sum': 733.0}, 'RA7-neg_2481': {'bp': 290.0, 'sum': 494.0}}
COMMENT: RETENTION_TIME_STDEV 0.006
COMMENT: PRECURSOR_M/Z_RAW 442.191814
COMMENT: PRECURSOR_M/Z_STDEV 0.001220
COMMENT: PRECURSOR_IN_MS1 mz 442.189355; int 33.548; delta(ppm) -0.797108
COMMENT: PROPOSED_CHARGE_STATE ND
COMMENT: PROPOSED_ISOTOPE_STATE ND
COMMENT: PROPOSED_ION_FORM M+Na-2H; M-H2O-H; mz 402.195241; int 3.402; cor 0.626
COMMENT: PROPOSED_MAX_NUM_S 0
COMMENT: PROPOSED_MF SevenGoldenRules 8.597; C22H31N5OP2; [M-H]1; delta(ppm) -8.596637
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.494; RUZASRZLKJRGLA-UHFFFAOYSA-N; [M-H]-; 1-(3-methoxyphenyl)-3-{1-methyl-5-[3-(naphthalen-2-yl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-yl}urea
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.487; BRLHDBQJAXKNDL-UHFFFAOYNA-N; [M-H]-; 2-imino-1-[(4-methylphenyl)methyl]-5-oxo-N-(2-oxolanylmethyl)-3-dipyrido[1,2-d:3',4'-f]pyrimidinecarboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.483; LDODFKUUIXQUAP-UHFFFAOYSA-N; [M-H]-; N-[2-(1H-imidazol-4-yl)ethyl]-3-{2-methyl-6-[(2-methylprop-2-en-1-yl)oxy]-4-oxo-3,4-dihydroquinazolin-3-yl}benzamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.448; MSGNUQWKOGJOQY-UHFFFAOYSA-N; [M-H]-; 3-hydroxy-2-(1-{3-methoxy-4-[(2-methylprop-2-en-1-yl)oxy]phenyl}-3-(morpholin-4-yl)-3-oxopropyl)-6-methyl-4H-pyran-4-one
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.448; QSQFFSQIBMFMHQ-UHFFFAOYSA-N; [M-H]-; 3-hydroxy-6-(methoxymethyl)-2-(1-{4-[(2-methylprop-2-en-1-yl)oxy]phenyl}-3-(morpholin-4-yl)-3-oxopropyl)-4H-pyran-4-one
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.448; YUMWOOADIUCPTF-UHFFFAOYSA-N; [M-H]-; N-(5,6-dimethoxy-2,3-dihydro-1H-inden-1-yl)-2-[4-(3-hydroxy-6-methyl-4-oxo-4H-pyran-2-yl)oxan-4-yl]acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.448; ZSTCXNKRHZQHLV-UHFFFAOYSA-N; [M-H]-; methyl 3-{3-hydroxy-6-[(morpholin-4-yl)methyl]-4-oxo-4H-pyran-2-yl}-3-{4-[(2-methylprop-2-en-1-yl)oxy]phenyl}propanoate
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.446; XADCWKSMHQPTGH-DGKWBODYNA-N; [M-H]-; 3-({3-[(1S,4aS,6S,7S,9S,9aR)-1,6-dimethyl-2-oxodecahydro-6,9-epoxy-4a,7-methanobenzo[7]annulen-1-yl]propanoyl}amino)-2,4-dihydroxybenzoic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.444; CXKSZGYTPSEPLL-UHFFFAOYSA-N; [M-H]-; 1-(2-{5-methoxy-4,8,8-trimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-3-yl}acetyl)piperidine-4-carboxylic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.444; IODXZCPYGKWGHT-UHFFFAOYSA-N; [M-H]-; 1-(2-{5-methoxy-4,8,8-trimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-3-yl}acetyl)piperidine-3-carboxylic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.444; OTYODNIZJWSDRE-UHFFFAOYSA-N; [M-H]-; 1-[2-({8,8-dimethyl-2-oxo-4-propyl-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]pyrrolidine-2-carboxylic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.444; UDDNIDULKWOHOE-UHFFFAOYSA-N; [M-H]-; 1-[2-({3,4,8,8-tetramethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]piperidine-3-carboxylic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.444; XFCRTUBGAGUUPR-UHFFFAOYSA-N; [M-H]-; 1-[2-({3,4,8,8-tetramethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]piperidine-4-carboxylic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.441; CXKKYPSGMPPLCL-UHFFFAOYSA-N; [M-H]-; 2-[2-({5,5-dimethyl-17-oxo-6,18-dioxatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11(16)-tetraen-9-yl}oxy)acetamido]butanoic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.441; KYPNVQGZAZFJQG-UHFFFAOYSA-N; [M-H]-; 4-[2-({5,5-dimethyl-17-oxo-6,18-dioxatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11(16)-tetraen-9-yl}oxy)acetamido]butanoic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.441; WIOWZVGMZQFMMF-UHFFFAOYSA-N; [M-H]-; 2-[2-({5,5-dimethyl-16-oxo-6,17-dioxatetracyclo[8.7.0.0?,?.0??,??]heptadeca-1,7,9,11(15)-tetraen-9-yl}oxy)acetamido]-3-methylbutanoic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.441; XKHBCYRAVLBYIL-UHFFFAOYSA-N; [M-H]-; 2-[2-({5,5-dimethyl-16-oxo-6,17-dioxatetracyclo[8.7.0.0?,?.0??,??]heptadeca-1,7,9,11(15)-tetraen-9-yl}oxy)acetamido]pentanoic acid
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.415; PLNPXYQHYDMAGY-UHFFFAOYNA-N; [M-H]-; 3-(1,3-benzodioxol-5-yl)-1-(2,6-dimethyl-4-morpholinyl)-3-(2-hydroxy-4,6-dimethoxyphenyl)-1-propanone
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.402; AZHYFZJBZMJYAY-UHFFFAOYSA-N; [M-H]-; CNP0427929
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.402; WSPXTELNVHBSFN-UHFFFAOYSA-N; [M-H]-; 5-hydroxy-2,8-dimethyl-6-oxo-2-(piperidin-4-yl)-2H,3H,4H,6H-pyrano[3,2-g]chromen-3-yl 2,3-dimethyloxirane-2-carboxylate
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.399; HWNMVPZFMKCQNE-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(2,4-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.399; UIFFFDHYGRGNMH-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(2,3-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.399; VMBYINBEINVDGS-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(2,5-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.399; WNGWYKIPBVCENQ-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(3,4-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.388; XETDTOLQFSGAMZ-UHFFFAOYSA-N; [M-H]-; 1-(6-{[4-(4-methoxyphenyl)pyrimidin-2-yl]amino}-hexahydrofuro[3,2-b]furan-3-yl)-3-(2-methylpropyl)thiourea
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.359; PTCUNTNDRJMBNI-UHFFFAOYSA-N; [M-H]-; methyl 1-[2-({4,8,8-trimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]piperidine-4-carboxylate
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.351; LXCVYDMTGZUZFO-UHFFFAOYSA-N; [M-H]-; methyl 2-[2-({5,5-dimethyl-17-oxo-6,18-dioxatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11(16)-tetraen-9-yl}oxy)acetamido]propanoate
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.333; DLLMLMHVKGEFNC-UHFFFAOYSA-N; [M-H]-; N,N-dimethyl-5-[(4-{[1-(5-methylfuran-2-yl)propyl]amino}-2,5-dihydro-1,2,5-thiadiazol-3-yl)imino]-6-oxo-2-(propan-2-yl)cyclohexa-1,3-diene-1-carboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.215; ZVWNORROGGUXBB-UHFFFAOYSA-N; [M-H]-; N-[3-(2-methylpropyl)-4-oxo-3,4-dihydroquinazolin-6-yl]-5-{2-oxo-hexahydro-1H-thieno[3,4-d]imidazol-4-yl}pentanamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.037; FHNUZSVBVLPZSN-UHFFFAOYSA-N; [M-H]-; 3-{2-[4-(4-methylquinolin-2-yl)piperazin-1-yl]-2-oxoethyl}-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.037; UTQDIVUFZMAIBF-UHFFFAOYSA-N; [M-H]-; 6-oxo-N-(2-{[(pyridin-2-yl)methyl]carbamoyl}phenyl)-7,11-diazatricyclo[7.3.1.0?,?]trideca-2,4-diene-11-carboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.920; JCXMNHQXNHEWDP-UHFFFAOYSA-N; [M-H]-; N-(2-{4,5-dimethoxy-2-[3-(2,3,4-trimethoxyphenyl)prop-2-enoyl]phenyl}ethyl)acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.920; MECBSCOFIREULX-UHFFFAOYSA-N; [M-H]-; N-[2-(2-acetyl-4,5-dimethoxyphenyl)ethyl]-3-(3,4,5-trimethoxyphenyl)prop-2-enamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.920; NKDHLUYPSZAZIC-UHFFFAOYSA-N; [M-H]-; N-(2-{4,5-dimethoxy-2-[3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]phenyl}ethyl)acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.898; HKZRXKNGDCOEMV-ALDFUXCCNA-N; [M+Na-2H]-; N-[(2S,3S,6R)-2-(hydroxymethyl)-6-[2-(4-phenyl-1-triazolyl)ethyl]-3-oxanyl]-2-(2-pyridinyl)acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.897; GMABBLNRVHCWFG-ALDFUXCCNA-N; [M+Na-2H]-; N-[(2S,3S,6R)-2-(hydroxymethyl)-6-[2-[4-(phenylmethyl)-1-triazolyl]ethyl]-3-oxanyl]-2-pyridinecarboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.877; DBJREFWYXGXAGP-UHFFFAOYSA-N; [M+Na-2H]-; CNP0430083
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.807; FWHALCFVPBJLRZ-UHFFFAOYSA-N; [M+Na-2H]-; N-{4-[({5-[3-(4-methoxyphenyl)-1,2,4-oxadiazol-5-yl]-1-methylpyrrolidin-3-yl}amino)methyl]phenyl}acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.796; PSDMCEUNOMVSPZ-UHFFFAOYSA-N; [M+Na-2H]-; 3-{1-oxo-7-[(phenylcarbamoyl)amino]-octahydropyrrolo[1,2-a]pyrazin-4-yl}-N-phenylpropanamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.786; QCILVCJZIMVCMY-UHFFFAOYSA-N; [M+Na-2H]-; 4-[4-(5-{1-[(4-methoxyphenyl)methyl]pyrrolidin-2-yl}-1,2,4-oxadiazol-3-yl)pyridin-2-yl]morpholine
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.786; ZCWLCTIDZFXYQA-UHFFFAOYSA-N; [M+Na-2H]-; 4-[5-(5-{1-[(2-methoxyphenyl)methyl]pyrrolidin-2-yl}-1,2,4-oxadiazol-3-yl)pyridin-2-yl]morpholine
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.765; JEYKZWRXDALMNG-UHFFFAOYSA-N; [M+Na-2H]-; 2-methyl-5-(methylsulfonylmethyl)-N-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]-1,2,4-triazol-3-amine
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.765; ICKJSPMWLYUURU-UHFFFAOYSA-N; [M+Na-2H]-; N,N-diethyl-3-[7-({[(furan-2-yl)methyl]carbamothioyl}amino)-1-oxo-octahydropyrrolo[1,2-a]pyrazin-4-yl]propanamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.746; GHFKYSSADKPBIN-UHFFFAOYSA-N; [M+Na-2H]-; 3-(3-oxo-3-{4-[2-(pyridin-2-yl)ethyl]piperazin-1-yl}propyl)-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.746; XRJAGLGHLXFIEV-UHFFFAOYSA-N; [M+Na-2H]-; 3-(3-oxo-3-{4-[2-(pyridin-4-yl)ethyl]piperazin-1-yl}propyl)-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.667; ABWQJHQBCNRNIY-UHFFFAOYSA-N; [M+Na-2H]-; CNP0426987
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; DZWLZPWRNXQUGF-UHFFFAOYSA-N; [M+Na-2H]-; 2-[ethyl-[(4-oxo-1H-quinazolin-2-yl)methyl]amino]-N-[4-(4-morpholinyl)phenyl]acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; GGMIFFPFTQSWTL-UHFFFAOYNA-N; [M+Na-2H]-; 1-cyclopentyl-2-imino-10-methyl-5-oxo-N-(2-oxolanylmethyl)-3-dipyrido[3,4-c:1',2'-f]pyrimidinecarboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; ZFIBYOSRRUDOFA-UHFFFAOYSA-N; [M+Na-2H]-; N-(1,5-dimethyl-3-oxo-2-phenyl-4-pyrazolyl)-2-[4-(4-hydroxyphenyl)-1-piperazinyl]acetamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; CIPMOXHUHKCKLW-UHFFFAOYSA-N; [M+Na-2H]-; N-[(furan-2-yl)methyl]-6-{[4-(4-methoxyphenyl)-1H-1,2,3-triazol-1-yl]methyl}-1-azabicyclo[2.2.2]octane-3-carboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; FHRLERNSAYIEFP-UHFFFAOYSA-N; [M+Na-2H]-; N-[2-(dimethylamino)ethyl]-N'-(2-{[2-(1H-indol-3-yl)ethyl]carbamoyl}phenyl)ethanediamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; IWOXZIWLJNHVRW-UHFFFAOYSA-N; [M+Na-2H]-; 4-methoxy-N-(5-{5-[1-(2-methylpropyl)pyrrolidin-2-yl]-1,2,4-oxadiazol-3-yl}pyridin-2-yl)benzamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; LGNFQEXEWVDCSS-UHFFFAOYSA-N; [M+Na-2H]-; N-{2-[3-methoxy-1-methyl-4-(pyrrolidine-1-carbonyl)-1H-pyrrol-2-yl]-1-methyl-1H-1,3-benzodiazol-5-yl}cyclopropanecarboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; MKGNJIHHYJYHID-UHFFFAOYSA-N; [M+Na-2H]-; N-[(furan-2-yl)methyl]-6-{[4-(phenoxymethyl)-1H-1,2,3-triazol-1-yl]methyl}-1-azabicyclo[2.2.2]octane-3-carboxamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; NMYCEQBAXBOEMK-UHFFFAOYSA-N; [M+Na-2H]-; N3-{4-[4-(dimethylamino)phenyl]pyrimidin-2-yl}-N6-[(furan-2-yl)methyl]-hexahydrofuro[3,2-b]furan-3,6-diamine
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 4.478; WFEOKSWALDVJEY-UHFFFAOYSA-N; [M+Na-2H]-; ethyl N-[1-methyl-2-({6-oxo-7,11-diazatricyclo[7.3.1.0?,?]trideca-2,4-dien-11-yl}methyl)-1H-1,3-benzodiazol-5-yl]carbamate
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 3.950; UIVLOJFQKSEZBO-UHFFFAOYSA-N; [M+Na-2H]-; 1-methyl-4-{2-[4-(oxolane-2-carbonyl)piperazin-1-yl]acetamido}-dodecahydro-1H-pyrrolo[2,3-b]quinolin-9-ium-5-yl
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 1.000; YUMWOOADIUCPTF-UHFFFAOYSA-N; [M-H]-; N-(5,6-dimethoxy-2,3-dihydro-1H-inden-1-yl)-2-[4-(3-hydroxy-6-methyl-4-oxo-4H-pyran-2-yl)oxan-4-yl]acetamide
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.985; MSGNUQWKOGJOQY-UHFFFAOYSA-N; [M-H]-; 3-hydroxy-2-(1-{3-methoxy-4-[(2-methylprop-2-en-1-yl)oxy]phenyl}-3-(morpholin-4-yl)-3-oxopropyl)-6-methyl-4H-pyran-4-one
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.933; ACIRILHJKJCEQM-WNIRCWHXSA-N; [M-H]-; UNPD225479
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.933; DMFFMULFLNQOHZ-XLYBGYBPNA-N; [M-H]-; UNPD9981
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.926; QSQFFSQIBMFMHQ-UHFFFAOYSA-N; [M-H]-; 3-hydroxy-6-(methoxymethyl)-2-(1-{4-[(2-methylprop-2-en-1-yl)oxy]phenyl}-3-(morpholin-4-yl)-3-oxopropyl)-4H-pyran-4-one
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.926; ZSTCXNKRHZQHLV-UHFFFAOYSA-N; [M-H]-; methyl 3-{3-hydroxy-6-[(morpholin-4-yl)methyl]-4-oxo-4H-pyran-2-yl}-3-{4-[(2-methylprop-2-en-1-yl)oxy]phenyl}propanoate
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.885; PNAZDWJMYGFNNJ-LXIHWDMXNA-N; [M-H]-; platensin A4
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.885; XADCWKSMHQPTGH-DGKWBODYNA-N; [M-H]-; 3-({3-[(1S,4aS,6S,7S,9S,9aR)-1,6-dimethyl-2-oxodecahydro-6,9-epoxy-4a,7-methanobenzo[7]annulen-1-yl]propanoyl}amino)-2,4-dihydroxybenzoic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.874; AZHYFZJBZMJYAY-UHFFFAOYSA-N; [M-H]-; CNP0427929
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.874; HWNMVPZFMKCQNE-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(2,4-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.874; UIFFFDHYGRGNMH-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(2,3-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.874; VMBYINBEINVDGS-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(2,5-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.874; WNGWYKIPBVCENQ-UHFFFAOYSA-N; [M-H]-; 7-{[bis(2-methoxyethyl)amino]methyl}-2-[(3,4-dimethoxyphenyl)methylidene]-6-hydroxy-2,3-dihydro-1-benzofuran-3-one
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.859; PGKFHOZQGYXNPU-SFRJGUJKNA-N; [M-H]-; UNPD71669
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.852; CXKKYPSGMPPLCL-UHFFFAOYSA-N; [M-H]-; 2-[2-({5,5-dimethyl-17-oxo-6,18-dioxatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11(16)-tetraen-9-yl}oxy)acetamido]butanoic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.852; KYPNVQGZAZFJQG-UHFFFAOYSA-N; [M-H]-; 4-[2-({5,5-dimethyl-17-oxo-6,18-dioxatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11(16)-tetraen-9-yl}oxy)acetamido]butanoic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.852; LXCVYDMTGZUZFO-UHFFFAOYSA-N; [M-H]-; methyl 2-[2-({5,5-dimethyl-17-oxo-6,18-dioxatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11(16)-tetraen-9-yl}oxy)acetamido]propanoate
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.852; WIOWZVGMZQFMMF-UHFFFAOYSA-N; [M-H]-; 2-[2-({5,5-dimethyl-16-oxo-6,17-dioxatetracyclo[8.7.0.0?,?.0??,??]heptadeca-1,7,9,11(15)-tetraen-9-yl}oxy)acetamido]-3-methylbutanoic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.852; XKHBCYRAVLBYIL-UHFFFAOYSA-N; [M-H]-; 2-[2-({5,5-dimethyl-16-oxo-6,17-dioxatetracyclo[8.7.0.0?,?.0??,??]heptadeca-1,7,9,11(15)-tetraen-9-yl}oxy)acetamido]pentanoic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.849; CXKSZGYTPSEPLL-UHFFFAOYSA-N; [M-H]-; 1-(2-{5-methoxy-4,8,8-trimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-3-yl}acetyl)piperidine-4-carboxylic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.849; IODXZCPYGKWGHT-UHFFFAOYSA-N; [M-H]-; 1-(2-{5-methoxy-4,8,8-trimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-3-yl}acetyl)piperidine-3-carboxylic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.835; OTYODNIZJWSDRE-UHFFFAOYSA-N; [M-H]-; 1-[2-({8,8-dimethyl-2-oxo-4-propyl-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]pyrrolidine-2-carboxylic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.834; WSPXTELNVHBSFN-UHFFFAOYSA-N; [M-H]-; 5-hydroxy-2,8-dimethyl-6-oxo-2-(piperidin-4-yl)-2H,3H,4H,6H-pyrano[3,2-g]chromen-3-yl 2,3-dimethyloxirane-2-carboxylate
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.815; JCXMNHQXNHEWDP-UHFFFAOYSA-N; [M-H]-; N-(2-{4,5-dimethoxy-2-[3-(2,3,4-trimethoxyphenyl)prop-2-enoyl]phenyl}ethyl)acetamide
